,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,City Rain,City Snow,Weather Description,Date
498,Lebedinyy,58.52,125.52,-0.78,83,88,12.1,RU,0.0,0.0,overcast clouds,2020-02-09 21:10:48
499,Bonfim,3.08,-59.95,92.95,34,44,13.11,BR,0.0,0.0,scattered clouds,2020-02-09 21:10:48
500,Boyolangu,-8.12,111.89,72.52,91,100,2.66,ID,0.0,0.0,overcast clouds,2020-02-09 21:10:48
501,Vao,-22.67,167.48,80.55,84,100,23.73,NC,0.0,0.0,overcast clouds,2020-02-09 21:10:48
502,Port Hedland,-20.32,118.57,82.4,83,75,12.75,AU,0.0,0.0,broken clouds,2020-02-09 21:10:48
503,Bucak,37.46,30.59,37.4,67,40,1.12,TR,0.0,0.0,scattered clouds,2020-02-09 21:10:49
504,Seymchan,62.88,152.43,-32.15,86,100,1.28,RU,0.0,0.0,overcast clouds,2020-02-09 21:10:49
505,Biu,10.61,12.19,78.06,21,0,17.9,NG,0.0,0.0,clear sky,2020-02-09 21:10:49
506,Buta,2.79,24.73,74.84,36,0,2.37,CD,0.0,0.0,clear sky,2020-02-09 21:10:49
507,Luganville,-15.53,167.17,74.17,97,100,5.64,VU,5.94,0.0,moderate rain,2020-02-09 21:10:49
508,Puerto Escondido,15.85,-97.07,86.0,79,75,6.93,MX,0.0,0.0,broken clouds,2020-02-09 21:08:05
509,Plunge,55.91,21.84,42.8,70,100,31.09,LT,0.0,0.0,overcast clouds,2020-02-09 21:10:50
510,Puro,12.48,123.38,76.35,77,91,19.51,PH,0.0,0.0,overcast clouds,2020-02-09 21:10:50
511,Sabang,5.89,95.32,82.4,72,35,13.62,ID,0.0,0.0,scattered clouds,2020-02-09 21:10:50
512,Aksu,41.12,80.26,27.21,57,1,3.94,CN,0.0,0.0,clear sky,2020-02-09 21:10:50
513,Cabedelo,-6.98,-34.83,84.2,74,40,16.11,BR,0.0,0.0,scattered clouds,2020-02-09 21:10:50
514,Vieste,41.88,16.18,51.01,81,40,2.24,IT,0.0,0.0,scattered clouds,2020-02-09 21:10:51
515,Son La,21.32,103.9,50.61,96,28,1.97,VN,0.0,0.0,scattered clouds,2020-02-09 21:10:51
516,Leningradskiy,69.38,178.42,-21.1,91,95,16.78,RU,0.0,0.0,overcast clouds,2020-02-09 21:07:32
517,Okhotsk,59.38,143.3,-7.76,64,87,3.85,RU,0.0,0.0,overcast clouds,2020-02-09 21:10:51
518,Sibolga,1.74,98.78,70.18,93,62,3.33,ID,0.0,0.0,broken clouds,2020-02-09 21:10:51
